,Class,Aspect,Period,Points
579,Control,Over-reliance,Period 3,4
580,Control,Over-reliance,Period 3,3
581,Control,Over-reliance,Period 3,3
582,Control,Over-reliance,Period 3,3
583,Control,Over-reliance,Period 3,3
584,Control,Over-reliance,Period 3,3
585,Control,Over-reliance,Period 4,2
586,Control,Over-reliance,Period 4,2
587,Control,Over-reliance,Period 4,2
588,Control,Over-reliance,Period 4,3
589,Control,Over-reliance,Period 4,1
590,Control,Over-reliance,Period 4,3
591,Control,Over-reliance,Period 4,1
592,Control,Over-reliance,Period 4,2
593,Control,Over-reliance,Period 4,2
594,Control,Over-reliance,Period 4,2
595,Control,Over-reliance,Period 4,2
596,Control,Over-reliance,Period 4,2
597,Control,Over-reliance,Period 4,2
598,Control,Over-reliance,Period 4,1
599,Control,Over-reliance,Period 4,3
600,Test,Helpful,Period 1,6
601,Test,Helpful,Period 1,6
602,Test,Helpful,Period 1,4
603,Test,Helpful,Period 1,5
604,Test,Helpful,Period 1,5
605,Test,Helpful,Period 1,5
606,Test,Helpful,Period 1,5
607,Test,Helpful,Period 1,5
608,Test,Helpful,Period 1,5
609,Test,Helpful,Period 1,6
610,Test,Helpful,Period 1,6
611,Test,Helpful,Period 1,6
612,Test,Helpful,Period 1,6
613,Test,Helpful,Period 1,7
614,Test,Helpful,Period 1,6
615,Test,Helpful,Period 2,7
616,Test,Helpful,Period 2,6
617,Test,Helpful,Period 2,6
618,Test,Helpful,Period 2,6
619,Test,Helpful,Period 2,5
620,Test,Helpful,Period 2,5
621,Test,Helpful,Period 2,5
622,Test,Helpful,Period 2,5
623,Test,Helpful,Period 2,6
624,Test,Helpful,Period 2,6
625,Test,Helpful,Period 2,6
626,Test,Helpful,Period 2,6
627,Test,Helpful,Period 2,7
628,Test,Helpful,Period 2,7
629,Test,Helpful,Period 2,6
630,Test,Helpful,Period 3,6
631,Test,Helpful,Period 3,6
632,Test,Helpful,Period 3,6
633,Test,Helpful,Period 3,6
634,Test,Helpful,Period 3,5
635,Test,Helpful,Period 3,6
636,Test,Helpful,Period 3,7
637,Test,Helpful,Period 3,6
638,Test,Helpful,Period 3,6
639,Test,Helpful,Period 3,6
640,Test,Helpful,Period 3,6
641,Test,Helpful,Period 3,7
642,Test,Helpful,Period 3,7
643,Test,Helpful,Period 3,7
644,Test,Helpful,Period 3,6
645,Test,Helpful,Period 4,7
646,Test,Helpful,Period 4,7
647,Test,Helpful,Period 4,6
648,Test,Helpful,Period 4,7
649,Test,Helpful,Period 4,7
650,Test,Helpful,Period 4,6
651,Test,Helpful,Period 4,6
652,Test,Helpful,Period 4,6
653,Test,Helpful,Period 4,6
654,Test,Helpful,Period 4,6
655,Test,Helpful,Period 4,7
656,Test,Helpful,Period 4,7
657,Test,Helpful,Period 4,7
658,Test,Helpful,Period 4,7
659,Test,Helpful,Period 4,6
660,Test,Collaborative,Period 1,6
661,Test,Collaborative,Period 1,6
662,Test,Collaborative,Period 1,4
663,Test,Collaborative,Period 1,5
664,Test,Collaborative,Period 1,5
665,Test,Collaborative,Period 1,6
666,Test,Collaborative,Period 1,7
667,Test,Collaborative,Period 1,5
668,Test,Collaborative,Period 1,5
669,Test,Collaborative,Period 1,6
670,Test,Collaborative,Period 1,6
671,Test,Collaborative,Period 1,6
672,Test,Collaborative,Period 1,6
673,Test,Collaborative,Period 1,7
674,Test,Collaborative,Period 1,6
675,Test,Collaborative,Period 2,7
676,Test,Collaborative,Period 2,6
677,Test,Collaborative,Period 2,6
678,Test,Collaborative,Period 2,6
679,Test,Collaborative,Period 2,5
680,Test,Collaborative,Period 2,6
681,Test,Collaborative,Period 2,5
682,Test,Collaborative,Period 2,5
683,Test,Collaborative,Period 2,6
684,Test,Collaborative,Period 2,7
685,Test,Collaborative,Period 2,6
686,Test,Collaborative,Period 2,6
687,Test,Collaborative,Period 2,7
688,Test,Collaborative,Period 2,7
689,Test,Collaborative,Period 2,6
690,Test,Collaborative,Period 3,7
691,Test,Collaborative,Period 3,6
692,Test,Collaborative,Period 3,7
693,Test,Collaborative,Period 3,7
694,Test,Collaborative,Period 3,5
695,Test,Collaborative,Period 3,6
696,Test,Collaborative,Period 3,7
697,Test,Collaborative,Period 3,6
698,Test,Collaborative,Period 3,6
699,Test,Collaborative,Period 3,6
700,Test,Collaborative,Period 3,6
701,Test,Collaborative,Period 3,7
702,Test,Collaborative,Period 3,7
703,Test,Collaborative,Period 3,7
704,Test,Collaborative,Period 3,6
705,Test,Collaborative,Period 4,7
706,Test,Collaborative,Period 4,5
707,Test,Collaborative,Period 4,6
708,Test,Collaborative,Period 4,7
709,Test,Collaborative,Period 4,7
710,Test,Collaborative,Period 4,6
711,Test,Collaborative,Period 4,6
712,Test,Collaborative,Period 4,6
713,Test,Collaborative,Period 4,4
714,Test,Collaborative,Period 4,5
715,Test,Collaborative,Period 4,7
716,Test,Collaborative,Period 4,7
717,Test,Collaborative,Period 4,5
718,Test,Collaborative,Period 4,5
719,Test,Collaborative,Period 4,5
720,Test,Free Expression,Period 1,4
721,Test,Free Expression,Period 1,4
722,Test,Free Expression,Period 1,4
723,Test,Free Expression,Period 1,4
724,Test,Free Expression,Period 1,4
725,Test,Free Expression,Period 1,5
726,Test,Free Expression,Period 1,4
727,Test,Free Expression,Period 1,4
728,Test,Free Expression,Period 1,4
729,Test,Free Expression,Period 1,5
730,Test,Free Expression,Period 1,3
731,Test,Free Expression,Period 1,4
732,Test,Free Expression,Period 1,4
733,Test,Free Expression,Period 1,4
734,Test,Free Expression,Period 1,4
735,Test,Free Expression,Period 2,4
736,Test,Free Expression,Period 2,4
737,Test,Free Expression,Period 2,4
738,Test,Free Expression,Period 2,5
739,Test,Free Expression,Period 2,4
740,Test,Free Expression,Period 2,4
741,Test,Free Expression,Period 2,4
742,Test,Free Expression,Period 2,5
743,Test,Free Expression,Period 2,5
744,Test,Free Expression,Period 2,5
745,Test,Free Expression,Period 2,5
746,Test,Free Expression,Period 2,4
747,Test,Free Expression,Period 2,4
748,Test,Free Expression,Period 2,4
749,Test,Free Expression,Period 2,5
750,Test,Free Expression,Period 3,5
751,Test,Free Expression,Period 3,5
752,Test,Free Expression,Period 3,5
753,Test,Free Expression,Period 3,5
754,Test,Free Expression,Period 3,5
755,Test,Free Expression,Period 3,5
756,Test,Free Expression,Period 3,5
757,Test,Free Expression,Period 3,5
758,Test,Free Expression,Period 3,5
759,Test,Free Expression,Period 3,4
760,Test,Free Expression,Period 3,4
761,Test,Free Expression,Period 3,5
762,Test,Free Expression,Period 3,4
763,Test,Free Expression,Period 3,4
764,Test,Free Expression,Period 3,5
765,Test,Free Expression,Period 4,6
766,Test,Free Expression,Period 4,6
767,Test,Free Expression,Period 4,6
768,Test,Free Expression,Period 4,6
769,Test,Free Expression,Period 4,5
770,Test,Free Expression,Period 4,5
771,Test,Free Expression,Period 4,5
772,Test,Free Expression,Period 4,5
773,Test,Free Expression,Period 4,5
774,Test,Free Expression,Period 4,4
775,Test,Free Expression,Period 4,5
776,Test,Free Expression,Period 4,6
777,Test,Free Expression,Period 4,5
778,Test,Free Expression,Period 4,5
779,Test,Free Expression,Period 4,5
780,Test,Bystander View,Period 1,4
781,Test,Bystander View,Period 1,4
782,Test,Bystander View,Period 1,4
783,Test,Bystander View,Period 1,5
784,Test,Bystander View,Period 1,4
785,Test,Bystander View,Period 1,4
786,Test,Bystander View,Period 1,4
787,Test,Bystander View,Period 1,5
788,Test,Bystander View,Period 1,4
789,Test,Bystander View,Period 1,4
790,Test,Bystander View,Period 1,4
791,Test,Bystander View,Period 1,3
792,Test,Bystander View,Period 1,3
793,Test,Bystander View,Period 1,4
794,Test,Bystander View,Period 1,3
795,Test,Bystander View,Period 2,5
796,Test,Bystander View,Period 2,5
797,Test,Bystander View,Period 2,5
798,Test,Bystander View,Period 2,5
799,Test,Bystander View,Period 2,5
800,Test,Bystander View,Period 2,5
801,Test,Bystander View,Period 2,4
802,Test,Bystander View,Period 2,5
803,Test,Bystander View,Period 2,5
804,Test,Bystander View,Period 2,4
805,Test,Bystander View,Period 2,5
806,Test,Bystander View,Period 2,4
807,Test,Bystander View,Period 2,3
808,Test,Bystander View,Period 2,4
809,Test,Bystander View,Period 2,3
810,Test,Bystander View,Period 3,5
811,Test,Bystander View,Period 3,5
812,Test,Bystander View,Period 3,5
813,Test,Bystander View,Period 3,5
814,Test,Bystander View,Period 3,5
815,Test,Bystander View,Period 3,5
816,Test,Bystander View,Period 3,4
817,Test,Bystander View,Period 3,6
818,Test,Bystander View,Period 3,5
819,Test,Bystander View,Period 3,4
820,Test,Bystander View,Period 3,5
821,Test,Bystander View,Period 3,4
822,Test,Bystander View,Period 3,3
823,Test,Bystander View,Period 3,6
824,Test,Bystander View,Period 3,3
825,Test,Bystander View,Period 4,7
826,Test,Bystander View,Period 4,5
827,Test,Bystander View,Period 4,7
828,Test,Bystander View,Period 4,5
829,Test,Bystander View,Period 4,5
830,Test,Bystander View,Period 4,5
831,Test,Bystander View,Period 4,4
832,Test,Bystander View,Period 4,6
833,Test,Bystander View,Period 4,5
834,Test,Bystander View,Period 4,4
835,Test,Bystander View,Period 4,5
836,Test,Bystander View,Period 4,4
837,Test,Bystander View,Period 4,4
838,Test,Bystander View,Period 4,7
839,Test,Bystander View,Period 4,6
840,Test,Empathy,Period 1,4
841,Test,Empathy,Period 1,4
842,Test,Empathy,Period 1,4
843,Test,Empathy,Period 1,7
844,Test,Empathy,Period 1,6
845,Test,Empathy,Period 1,7
846,Test,Empathy,Period 1,4
847,Test,Empathy,Period 1,4
848,Test,Empathy,Period 1,4
849,Test,Empathy,Period 1,5
850,Test,Empathy,Period 1,7
851,Test,Empathy,Period 1,4
852,Test,Empathy,Period 1,4
853,Test,Empathy,Period 1,3
854,Test,Empathy,Period 1,4
855,Test,Empathy,Period 2,5
856,Test,Empathy,Period 2,5
857,Test,Empathy,Period 2,4
858,Test,Empathy,Period 2,7
859,Test,Empathy,Period 2,6
860,Test,Empathy,Period 2,7
861,Test,Empathy,Period 2,4
862,Test,Empathy,Period 2,4
863,Test,Empathy,Period 2,4
864,Test,Empathy,Period 2,5
865,Test,Empathy,Period 2,7
866,Test,Empathy,Period 2,4
867,Test,Empathy,Period 2,4
868,Test,Empathy,Period 2,4
869,Test,Empathy,Period 2,4
870,Test,Empathy,Period 3,6
871,Test,Empathy,Period 3,6
872,Test,Empathy,Period 3,4
873,Test,Empathy,Period 3,7
874,Test,Empathy,Period 3,6
875,Test,Empathy,Period 3,7
876,Test,Empathy,Period 3,4
877,Test,Empathy,Period 3,4
878,Test,Empathy,Period 3,4
879,Test,Empathy,Period 3,5
880,Test,Empathy,Period 3,7
881,Test,Empathy,Period 3,4
882,Test,Empathy,Period 3,5
883,Test,Empathy,Period 3,4
884,Test,Empathy,Period 3,6
885,Test,Empathy,Period 4,7
886,Test,Empathy,Period 4,6
887,Test,Empathy,Period 4,4
888,Test,Empathy,Period 4,7
889,Test,Empathy,Period 4,6
890,Test,Empathy,Period 4,7
891,Test,Empathy,Period 4,4
892,Test,Empathy,Period 4,4
893,Test,Empathy,Period 4,4
894,Test,Empathy,Period 4,5
895,Test,Empathy,Period 4,7
896,Test,Empathy,Period 4,4
897,Test,Empathy,Period 4,5
898,Test,Empathy,Period 4,4
899,Test,Empathy,Period 4,6
900,Test,Interpretations,Period 1,6
901,Test,Interpretations,Period 1,6
902,Test,Interpretations,Period 1,6
903,Test,Interpretations,Period 1,5
904,Test,Interpretations,Period 1,6
905,Test,Interpretations,Period 1,7
906,Test,Interpretations,Period 1,5
907,Test,Interpretations,Period 1,5
908,Test,Interpretations,Period 1,5
909,Test,Interpretations,Period 1,5
910,Test,Interpretations,Period 1,5
911,Test,Interpretations,Period 1,6
912,Test,Interpretations,Period 1,6
913,Test,Interpretations,Period 1,6
914,Test,Interpretations,Period 1,6
915,Test,Interpretations,Period 2,6
916,Test,Interpretations,Period 2,6
917,Test,Interpretations,Period 2,6
918,Test,Interpretations,Period 2,5
919,Test,Interpretations,Period 2,6
920,Test,Interpretations,Period 2,7
921,Test,Interpretations,Period 2,5
922,Test,Interpretations,Period 2,5
923,Test,Interpretations,Period 2,3
924,Test,Interpretations,Period 2,5
925,Test,Interpretations,Period 2,5
926,Test,Interpretations,Period 2,6
927,Test,Interpretations,Period 2,3
928,Test,Interpretations,Period 2,6
929,Test,Interpretations,Period 2,6
930,Test,Interpretations,Period 3,6
931,Test,Interpretations,Period 3,6
932,Test,Interpretations,Period 3,5
933,Test,Interpretations,Period 3,5
934,Test,Interpretations,Period 3,5
935,Test,Interpretations,Period 3,5
936,Test,Interpretations,Period 3,5
937,Test,Interpretations,Period 3,5
938,Test,Interpretations,Period 3,3
939,Test,Interpretations,Period 3,5
940,Test,Interpretations,Period 3,5
941,Test,Interpretations,Period 3,6
942,Test,Interpretations,Period 3,3
943,Test,Interpretations,Period 3,6
944,Test,Interpretations,Period 3,6
945,Test,Interpretations,Period 4,7
946,Test,Interpretations,Period 4,6
947,Test,Interpretations,Period 4,5
948,Test,Interpretations,Period 4,5
949,Test,Interpretations,Period 4,6
950,Test,Interpretations,Period 4,6
951,Test,Interpretations,Period 4,6
952,Test,Interpretations,Period 4,5
953,Test,Interpretations,Period 4,3
954,Test,Interpretations,Period 4,5
955,Test,Interpretations,Period 4,5
956,Test,Interpretations,Period 4,5
957,Test,Interpretations,Period 4,3
958,Test,Interpretations,Period 4,6
959,Test,Interpretations,Period 4,6
960,Test,Learning,Period 1,5
961,Test,Learning,Period 1,6
962,Test,Learning,Period 1,6
963,Test,Learning,Period 1,5
964,Test,Learning,Period 1,6
965,Test,Learning,Period 1,7
966,Test,Learning,Period 1,5
967,Test,Learning,Period 1,5
968,Test,Learning,Period 1,5
969,Test,Learning,Period 1,5
970,Test,Learning,Period 1,7
971,Test,Learning,Period 1,7
972,Test,Learning,Period 1,7
973,Test,Learning,Period 1,6
974,Test,Learning,Period 1,6
975,Test,Learning,Period 2,5
976,Test,Learning,Period 2,6
977,Test,Learning,Period 2,6
978,Test,Learning,Period 2,4
979,Test,Learning,Period 2,5
980,Test,Learning,Period 2,6
981,Test,Learning,Period 2,5
982,Test,Learning,Period 2,5
983,Test,Learning,Period 2,5
984,Test,Learning,Period 2,5
985,Test,Learning,Period 2,7
986,Test,Learning,Period 2,6
987,Test,Learning,Period 2,4
988,Test,Learning,Period 2,6
989,Test,Learning,Period 2,6
990,Test,Learning,Period 3,6
991,Test,Learning,Period 3,5
992,Test,Learning,Period 3,6
993,Test,Learning,Period 3,4
994,Test,Learning,Period 3,5
995,Test,Learning,Period 3,6
996,Test,Learning,Period 3,5
997,Test,Learning,Period 3,5
998,Test,Learning,Period 3,5
999,Test,Learning,Period 3,5
1000,Test,Learning,Period 3,5
1001,Test,Learning,Period 3,6
1002,Test,Learning,Period 3,4
1003,Test,Learning,Period 3,6
1004,Test,Learning,Period 3,4
1005,Test,Learning,Period 4,6
1006,Test,Learning,Period 4,5
1007,Test,Learning,Period 4,6
1008,Test,Learning,Period 4,4
1009,Test,Learning,Period 4,5
1010,Test,Learning,Period 4,3
1011,Test,Learning,Period 4,5
1012,Test,Learning,Period 4,5
1013,Test,Learning,Period 4,5
1014,Test,Learning,Period 4,5
1015,Test,Learning,Period 4,3
1016,Test,Learning,Period 4,6
1017,Test,Learning,Period 4,4
1018,Test,Learning,Period 4,5
1019,Test,Learning,Period 4,4
1020,Test,Ownership,Period 1,6
1021,Test,Ownership,Period 1,6
1022,Test,Ownership,Period 1,5
1023,Test,Ownership,Period 1,6
1024,Test,Ownership,Period 1,5
1025,Test,Ownership,Period 1,4
1026,Test,Ownership,Period 1,6
1027,Test,Ownership,Period 1,7
1028,Test,Ownership,Period 1,5
1029,Test,Ownership,Period 1,7
1030,Test,Ownership,Period 1,6
1031,Test,Ownership,Period 1,4
1032,Test,Ownership,Period 1,6
1033,Test,Ownership,Period 1,5
1034,Test,Ownership,Period 1,7
1035,Test,Ownership,Period 2,5
1036,Test,Ownership,Period 2,6
1037,Test,Ownership,Period 2,5
1038,Test,Ownership,Period 2,5
1039,Test,Ownership,Period 2,5
1040,Test,Ownership,Period 2,4
1041,Test,Ownership,Period 2,6
1042,Test,Ownership,Period 2,7
1043,Test,Ownership,Period 2,5
1044,Test,Ownership,Period 2,6
1045,Test,Ownership,Period 2,6
1046,Test,Ownership,Period 2,4
1047,Test,Ownership,Period 2,6
1048,Test,Ownership,Period 2,5
1049,Test,Ownership,Period 2,6
1050,Test,Ownership,Period 3,6
1051,Test,Ownership,Period 3,6
1052,Test,Ownership,Period 3,5
1053,Test,Ownership,Period 3,7
1054,Test,Ownership,Period 3,5
1055,Test,Ownership,Period 3,4
1056,Test,Ownership,Period 3,6
1057,Test,Ownership,Period 3,7
1058,Test,Ownership,Period 3,5
1059,Test,Ownership,Period 3,6
1060,Test,Ownership,Period 3,6
1061,Test,Ownership,Period 3,4
1062,Test,Ownership,Period 3,5
1063,Test,Ownership,Period 3,5
1064,Test,Ownership,Period 3,6
1065,Test,Ownership,Period 4,6
1066,Test,Ownership,Period 4,6
1067,Test,Ownership,Period 4,5
1068,Test,Ownership,Period 4,7
1069,Test,Ownership,Period 4,5
1070,Test,Ownership,Period 4,4
1071,Test,Ownership,Period 4,6
1072,Test,Ownership,Period 4,7
1073,Test,Ownership,Period 4,5
1074,Test,Ownership,Period 4,6
1075,Test,Ownership,Period 4,6
1076,Test,Ownership,Period 4,4
1077,Test,Ownership,Period 4,7
1078,Test,Ownership,Period 4,5
1079,Test,Ownership,Period 4,6
1080,Test,Long-term Usage,Period 1,6
1081,Test,Long-term Usage,Period 1,6
1082,Test,Long-term Usage,Period 1,5
1083,Test,Long-term Usage,Period 1,6
1084,Test,Long-term Usage,Period 1,5
1085,Test,Long-term Usage,Period 1,4
1086,Test,Long-term Usage,Period 1,6
1087,Test,Long-term Usage,Period 1,7
1088,Test,Long-term Usage,Period 1,5
1089,Test,Long-term Usage,Period 1,6
1090,Test,Long-term Usage,Period 1,6
1091,Test,Long-term Usage,Period 1,4
1092,Test,Long-term Usage,Period 1,6
1093,Test,Long-term Usage,Period 1,5
1094,Test,Long-term Usage,Period 1,7
1095,Test,Long-term Usage,Period 2,5
1096,Test,Long-term Usage,Period 2,5
1097,Test,Long-term Usage,Period 2,6
1098,Test,Long-term Usage,Period 2,6
1099,Test,Long-term Usage,Period 2,5
1100,Test,Long-term Usage,Period 2,6
1101,Test,Long-term Usage,Period 2,6
1102,Test,Long-term Usage,Period 2,6
1103,Test,Long-term Usage,Period 2,5
1104,Test,Long-term Usage,Period 2,6
1105,Test,Long-term Usage,Period 2,6
1106,Test,Long-term Usage,Period 2,4
1107,Test,Long-term Usage,Period 2,6
1108,Test,Long-term Usage,Period 2,5
1109,Test,Long-term Usage,Period 2,7
1110,Test,Long-term Usage,Period 3,6
1111,Test,Long-term Usage,Period 3,6
1112,Test,Long-term Usage,Period 3,6
1113,Test,Long-term Usage,Period 3,6
1114,Test,Long-term Usage,Period 3,6
1115,Test,Long-term Usage,Period 3,6
1116,Test,Long-term Usage,Period 3,6
1117,Test,Long-term Usage,Period 3,6
1118,Test,Long-term Usage,Period 3,6
1119,Test,Long-term Usage,Period 3,6
1120,Test,Long-term Usage,Period 3,6
1121,Test,Long-term Usage,Period 3,4
1122,Test,Long-term Usage,Period 3,6
1123,Test,Long-term Usage,Period 3,5
1124,Test,Long-term Usage,Period 3,7
1125,Test,Long-term Usage,Period 4,6
1126,Test,Long-term Usage,Period 4,4
1127,Test,Long-term Usage,Period 4,6
1128,Test,Long-term Usage,Period 4,3
1129,Test,Long-term Usage,Period 4,6
1130,Test,Long-term Usage,Period 4,5
1131,Test,Long-term Usage,Period 4,6
1132,Test,Long-term Usage,Period 4,7
1133,Test,Long-term Usage,Period 4,6
1134,Test,Long-term Usage,Period 4,5
1135,Test,Long-term Usage,Period 4,6
1136,Test,Long-term Usage,Period 4,4
1137,Test,Long-term Usage,Period 4,5
1138,Test,Long-term Usage,Period 4,3
1139,Test,Long-term Usage,Period 4,4
1140,Test,Over-reliance,Period 1,3
1141,Test,Over-reliance,Period 1,4
1142,Test,Over-reliance,Period 1,3
1143,Test,Over-reliance,Period 1,3
1144,Test,Over-reliance,Period 1,3
1145,Test,Over-reliance,Period 1,4
1146,Test,Over-reliance,Period 1,3
1147,Test,Over-reliance,Period 1,3
1148,Test,Over-reliance,Period 1,3
1149,Test,Over-reliance,Period 1,2
1150,Test,Over-reliance,Period 1,4
1151,Test,Over-reliance,Period 1,5
1152,Test,Over-reliance,Period 1,4
1153,Test,Over-reliance,Period 1,3
1154,Test,Over-reliance,Period 1,3
1155,Test,Over-reliance,Period 2,4
1156,Test,Over-reliance,Period 2,4
1157,Test,Over-reliance,Period 2,3
1158,Test,Over-reliance,Period 2,3
1159,Test,Over-reliance,Period 2,3
1160,Test,Over-reliance,Period 2,4
1161,Test,Over-reliance,Period 2,3
1162,Test,Over-reliance,Period 2,3
1163,Test,Over-reliance,Period 2,3
1164,Test,Over-reliance,Period 2,2
1165,Test,Over-reliance,Period 2,6
1166,Test,Over-reliance,Period 2,5
1167,Test,Over-reliance,Period 2,4
1168,Test,Over-reliance,Period 2,4
1169,Test,Over-reliance,Period 2,3
1170,Test,Over-reliance,Period 3,5
1171,Test,Over-reliance,Period 3,4
1172,Test,Over-reliance,Period 3,3
1173,Test,Over-reliance,Period 3,5
1174,Test,Over-reliance,Period 3,3
1175,Test,Over-reliance,Period 3,6
1176,Test,Over-reliance,Period 3,3
1177,Test,Over-reliance,Period 3,3
1178,Test,Over-reliance,Period 3,5
1179,Test,Over-reliance,Period 3,2
1180,Test,Over-reliance,Period 3,6
1181,Test,Over-reliance,Period 3,5
1182,Test,Over-reliance,Period 3,4
1183,Test,Over-reliance,Period 3,4
1184,Test,Over-reliance,Period 3,3
1185,Test,Over-reliance,Period 4,6
1186,Test,Over-reliance,Period 4,4
1187,Test,Over-reliance,Period 4,3
1188,Test,Over-reliance,Period 4,5
1189,Test,Over-reliance,Period 4,3
1190,Test,Over-reliance,Period 4,6
1191,Test,Over-reliance,Period 4,3
1192,Test,Over-reliance,Period 4,3
1193,Test,Over-reliance,Period 4,5
1194,Test,Over-reliance,Period 4,2
1195,Test,Over-reliance,Period 4,6
1196,Test,Over-reliance,Period 4,5
1197,Test,Over-reliance,Period 4,5
1198,Test,Over-reliance,Period 4,6
1199,Test,Over-reliance,Period 4,6
