Aspects,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Helpful,5,4,4,5,5,6,6,6,6,4,4,4,4,5,5,4,3,3,3,3,4,4,4,5,3,4,4,5,6,3,4,4,4,3,2,5,6,4,4,4,4,4,5,4,4,3,3,3,2,2,4,3,3,3,3,3,6,4,3,3
Collaborative,4,4,5,4,4,5,3,4,6,4,4,5,3,4,3,3,3,4,4,4,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,4,3,3,1,2,2,2,2,2,2,2,2,1,2,3,3,2,1
Free Expression,4,4,4,4,4,5,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,2,3,3,3,4,4,3,3,2,2,3,3,3,3,3,3,4,2,2
Bystander View,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,1,2,2,2,2,1,2,1,2,2,3
Empathy,3,4,3,3,3,3,3,4,1,2,2,3,3,3,3,4,4,1,1,2,3,2,3,4,4,4,3,4,3,3,3,3,1,1,2,3,3,3,3,3,3,3,4,3,3,3,3,1,1,2,3,3,3,3,3,2,3,4,1,3
Interpretations,5,5,5,5,5,4,6,3,5,5,7,5,5,5,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,3,5,5,5,5,5,5,5,4,5,5,5,5,4,6,3,5,5,5,5,3,3,3,3,5,5,5,3,4
Learning,4,5,5,5,5,4,6,3,4,4,5,4,5,5,4,4,5,5,5,5,4,4,3,4,4,5,4,5,5,4,5,3,3,3,3,4,4,3,4,2,5,4,5,2,4,5,3,3,3,1,4,2,3,1,2,5,1,4,2,4
Ownership,6,6,5,6,5,6,6,6,5,5,6,4,6,5,6,4,4,5,5,5,5,5,4,5,6,6,4,5,6,6,4,4,5,4,5,4,5,4,5,6,5,4,6,6,6,2,3,4,2,3,3,4,2,3,2,2,4,5,6,6
Long-term Usage,3,2,6,1,3,3,3,3,3,3,3,3,3,3,3,3,2,6,1,3,1,3,2,3,3,3,3,3,3,3,2,2,2,1,3,1,3,2,3,1,1,3,3,3,3,1,2,2,1,3,1,3,2,3,1,1,3,1,3,1
Over-reliance,3,3,3,3,3,3,3,4,5,2,1,3,3,3,3,4,4,3,2,4,3,3,3,2,3,4,3,3,3,3,3,3,2,3,4,3,3,2,1,4,3,3,3,3,3,2,2,2,3,1,3,1,2,2,2,2,2,2,1,3
Helpful,6,6,4,5,5,5,5,5,5,6,6,6,6,7,6,7,6,6,6,5,5,5,5,6,6,6,6,7,7,6,6,6,6,6,5,6,7,6,6,6,6,7,7,7,6,7,7,6,7,7,6,6,6,6,6,7,7,7,7,6
Collaborative,6,6,4,5,5,6,7,5,5,6,6,6,6,7,6,7,6,6,6,5,6,5,5,6,7,6,6,7,7,6,7,6,7,7,5,6,7,6,6,6,6,7,7,7,6,7,5,6,7,7,6,6,6,4,5,7,7,5,5,5
Free Expression,4,4,4,4,4,5,4,4,4,5,3,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,6,6,6,6,5,5,5,5,5,4,5,6,5,5,5
Bystander View,4,4,4,5,4,4,4,5,4,4,4,3,3,4,3,5,5,5,5,5,5,4,5,5,4,5,4,3,4,3,5,5,5,5,5,5,4,6,5,4,5,4,3,6,3,7,5,7,5,5,5,4,6,5,4,5,4,4,7,6
Empathy,4,4,4,7,6,7,4,4,4,5,7,4,4,3,4,5,5,4,7,6,7,4,4,4,5,7,4,4,4,4,6,6,4,7,6,7,4,4,4,5,7,4,5,4,6,7,6,4,7,6,7,4,4,4,5,7,4,5,4,6
Interpretations,6,6,6,5,6,7,5,5,5,5,5,6,6,6,6,6,6,6,5,6,7,5,5,3,5,5,6,3,6,6,6,6,5,5,5,5,5,5,3,5,5,6,3,6,6,7,6,5,5,6,6,6,5,3,5,5,5,3,6,6
Learning,5,6,6,5,6,7,5,5,5,5,7,7,7,6,6,5,6,6,4,5,6,5,5,5,5,7,6,4,6,6,6,5,6,4,5,6,5,5,5,5,5,6,4,6,4,6,5,6,4,5,3,5,5,5,5,3,6,4,5,4
Ownership,6,6,5,6,5,4,6,7,5,7,6,4,6,5,7,5,6,5,5,5,4,6,7,5,6,6,4,6,5,6,6,6,5,7,5,4,6,7,5,6,6,4,5,5,6,6,6,5,7,5,4,6,7,5,6,6,4,7,5,6
Long-term Usage,6,6,5,6,5,4,6,7,5,6,6,4,6,5,7,5,5,6,6,5,6,6,6,5,6,6,4,6,5,7,6,6,6,6,6,6,6,6,6,6,6,4,6,5,7,6,4,6,3,6,5,6,7,6,5,6,4,5,3,4
Over-reliance,3,4,3,3,3,4,3,3,3,2,4,5,4,3,3,4,4,3,3,3,4,3,3,3,2,6,5,4,4,3,5,4,3,5,3,6,3,3,5,2,6,5,4,4,3,6,4,3,5,3,6,3,3,5,2,6,5,5,6,6